id,open time,open,high,low,close,volume,close time,quote asset volume,number of trades,taker buy base asset volume,taker buy quote asset volume,ignore
101,1635755100000,62152.35000000,62182.80000000,62045.87000000,62045.87000000,119.98297000,1635755399999,7453129.89996630,3799,54.32711000,3374609.51578060,0
102,1635755400000,62045.87000000,62188.24000000,62042.29000000,62067.42000000,140.94869000,1635755699999,8755923.38877890,4767,76.23695000,4735678.15287270,0
103,1635755700000,62067.43000000,62113.79000000,61938.68000000,61938.78000000,153.25854000,1635755999999,9508105.36418170,5231,56.78295000,3522943.03403660,0
104,1635756000000,61938.69000000,62027.61000000,61707.76000000,61818.00000000,316.77640000,1635756299999,19593337.89210140,8167,150.03927000,9280500.38462580,0
105,1635756300000,61817.99000000,61895.27000000,61630.18000000,61799.98000000,215.72470000,1635756599999,13324067.42739280,6424,109.28901000,6749324.98394740,0
106,1635756600000,61799.98000000,61906.86000000,61775.00000000,61882.53000000,128.36812000,1635756899999,7937776.93004230,3893,73.26888000,4530524.29010760,0
107,1635756900000,61882.53000000,61919.99000000,61812.90000000,61902.42000000,121.14479000,1635757199999,7496249.61067240,3908,64.44228000,3987550.21344570,0
108,1635757200000,61902.42000000,62033.00000000,61817.12000000,62014.09000000,206.94988000,1635757499999,12819446.49694240,6359,104.44685000,6470289.50905280,0
109,1635757500000,62014.09000000,62116.19000000,62008.72000000,62076.96000000,173.33786000,1635757799999,10758826.79217750,5626,93.93195000,5830046.05990590,0
110,1635757800000,62076.96000000,62120.99000000,62018.11000000,62115.06000000,166.19544000,1635758099999,10313366.37202980,5092,71.88712000,4461445.81734800,0
111,1635758100000,62115.06000000,62150.00000000,61955.10000000,62008.01000000,277.96774000,1635758399999,17252733.70873680,6541,114.40460000,7100211.08739420,0
112,1635758400000,62008.01000000,62060.00000000,62002.00000000,62028.37000000,76.18795000,1635758699999,4726118.96864950,3746,41.00760000,2543792.54104130,0
113,1635758700000,62028.37000000,62055.00000000,61890.88000000,62035.78000000,140.14416000,1635758999999,8687296.54459030,4431,78.29888000,4853825.45799160,0
114,1635759000000,62035.77000000,62121.37000000,62035.33000000,62097.97000000,76.63539000,1635759299999,4758293.64354150,3333,37.25762000,2313242.41671540,0
115,1635759300000,62097.97000000,62118.32000000,61908.16000000,61999.49000000,136.62789000,1635759599999,8478535.76120870,4332,56.42770000,3502570.00239700,0
